Inkscape|https://inkscape.org/|https://inkscape.org/gallery/item/58919/Inkscape-0d15f75-x86_64.AppImage|https://media.inkscape.org/static/images/inkscape-logo.svg|lgpd|https://inkscape.org/about/|114.23M
qBittorrent|https://www.qbittorrent.org/|https://sinalbr.dl.sourceforge.net/project/qbittorrent/qbittorrent-appimage/qbittorrent-5.1.4/qbittorrent-5.1.4_x86_64.AppImage?viasf=1|https://www.qbittorrent.org/img/qb_banner.webp|unknow|unknow|unknow
LM studio|https://lmstudio.ai/|https://lmstudio.ai/download/latest/linux/x64|https://lmstudio.ai/_next/static/media/lmstudio-app-logo.11b4d746.webp|unknow|unknow|unknow
